center,label,positives,support,prevalence,ci_low,ci_high
CMA de DAFRA,malaria,134,153,0.8758169934640523,0.8141840114543485,0.9190398271190913
CMA de DAFRA,other_diseases,66,153,0.43137254901960786,0.3555238474775599,0.5105831037394641
CMA de DAFRA,dengue,13,153,0.08496732026143791,0.0503260360334627,0.13993981180282566
CMA de DAFRA,typhoid,4,153,0.026143790849673203,0.010212574388730519,0.06528780306214987
CMA de DAFRA,yellow_fever,3,153,0.0196078431372549,0.0066903672665462426,0.05605829125262214
CMA de DO,malaria,136,147,0.9251700680272109,0.8709784320428373,0.9577054323553129
CMA de DO,other_diseases,33,147,0.22448979591836735,0.16455104523179404,0.2984618106382047
CMA de DO,dengue,43,147,0.2925170068027211,0.22501034967520295,0.37059192449849976
CMA de DO,typhoid,25,147,0.17006802721088435,0.11792934662143165,0.23901197460560383
CMA de DO,yellow_fever,9,147,0.061224489795918366,0.032541132146123544,0.11225711979498555
