column,dtype_raw,role,n_non_null,n_missing,missing_pct,n_unique,top_value,top_value_share,numeric_ratio,is_near_constant,is_constant,example_values,dict_en_alias,dict_category
Centre de santé,str,binary,300,0,0.0,2,CMA de DAFRA,0.51,0.0,False,False,CMA de DO | CMA de DAFRA,,
Genre (Gender),str,binary,298,2,0.67,2,Femme,0.5101,0.0,False,False,Femme | Homme,,
Âge (Age),str,numeric,300,0,0.0,109,6,0.0467,1.0,False,False,18 | 26 | 25 | 3 | 8,Age,Demographic Variable
Poids (Weight),str,numeric,196,104,34.67,70,10,0.0969,1.0,False,False,55 | 120 | 63 | 12 | 24,Weight,Demographic Variable
Circonference du bras (Mua circumference),str,numeric,25,275,91.67,17,13,0.16,1.0,False,False,"13,5 | 13 | 14 | 13.55 | 13.5",Mua circumference,Demographic Variable
"Haute température.(temperature, Hyperpyrexia)",str,binary,299,1,0.33,2,OUI,0.8294,0.0,False,False,OUI | NON,Temperature,Symptom
Fièvre depuis 48 heures(Fever 48 hrs),str,binary,297,3,1.0,2,OUI,0.8418,0.0,False,False,OUI | NON,Fever in the last 7 days,Symptom
Fièvre au cours des 7 derniers jours (Fever in the last 7 days),str,binary,296,4,1.33,2,NON,0.8581,0.0,False,False,OUI | NON,Fever in the last 7 days,Symptom
Type de fièvre (Type of Fever),str,binary,294,6,2.0,2,Récurrente,0.5442,0.0,False,False,Récurrente | Intermittente,Fever in the last 7 days,Symptom
Perte de poids (Loss of Weight),str,binary,298,2,0.67,2,NON,0.9262,0.0,False,False,NON | OUI,Weight,Demographic Variable
Maux de tête (headache),str,binary,298,2,0.67,2,OUI,0.7785,0.0,False,False,OUI | NON,Headache,Symptom
Nausée (Nausea),str,binary,297,3,1.0,2,NON,0.5589,0.0,False,False,OUI | NON,Nausea,Symptom
Vomissement (Vomiting),str,binary,299,1,0.33,2,OUI,0.5719,0.0,False,False,NON | OUI,,
Douleur articulaire (Joint pain),str,binary,299,1,0.33,2,NON,0.5452,0.0,False,False,OUI | NON,Muscle or joint pain,Symptom
Gonflement des articulations (Joint Swelling),str,binary,298,2,0.67,2,NON,0.9899,0.0,False,False,NON | OUI,Joint Swelling,Symptom
Douleur musculaire ( Muscle pain),str,binary,298,2,0.67,2,OUI,0.5503,0.0,False,False,OUI | NON,Muscle or joint pain,Symptom
Douleur Thoracique (Chaist pain),str,binary,299,1,0.33,2,NON,0.9365,0.0,False,False,NON | OUI,Abdominal pain,Symptom
Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),str,binary,298,2,0.67,2,NON,0.849,0.0,False,False,NON | OUI,Rachiodynia,Symptom
Troubles de la conscience (Consciousness trouble),str,binary,299,1,0.33,2,NON,0.7993,0.0,False,False,NON | OUI,Consciousness trouble,Symptom
Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),str,binary,299,1,0.33,2,OUI,0.709,0.0,False,False,OUI | NON,,
Éruptions cutanées ou Exanthème (Skin rash or Exanthema),str,binary,299,1,0.33,2,NON,0.9967,0.0,True,False,NON | OUI,Skin rash,Symptom
Éruption morbilliforme (Morbilliform rash),str,binary,299,1,0.33,2,NON,0.9933,0.0,True,False,NON | OUI,Skin rash,Symptom
Saignement/ Manifestations hémorragiques (Bleeding),str,binary,299,1,0.33,2,NON,0.9833,0.0,False,False,NON | OUI,Bleeding,Symptom
Rhinorrhée (Rhinorrhea),str,binary,299,1,0.33,2,NON,0.9532,0.0,False,False,NON | OUI,Rhinorrhea,Symptom
