label,feature,importance_mean,importance_std
dengue,Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),0.04148,0.01356
dengue,Douleur articulaire (Joint pain),0.03561,0.04352
dengue,Sensation de frissons ou de froid (Shiver or cold sensation),0.03526,0.03127
dengue,center_code,0.0165,0.02446
dengue,Douleur musculaire ( Muscle pain),0.01242,0.0442
dengue,Poids (Weight)__missing,0.00815,0.00668
dengue,"Haute température.(temperature, Hyperpyrexia)",0.00809,0.02471
dengue,Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),0.00743,0.00506
dengue,Oligurie (Oliguria),0.00652,0.02057
dengue,Hépatomégalie (Hepatomegaly),0.00466,0.01457
dengue,Détresse respiratoire (Respiratory distress),0.00338,0.00273
dengue,bp_diastolic,0.00047,0.00119
dengue,Maux de tête (headache),0.0003,0.04136
dengue,Drépanocytose,9e-05,0.00022
dengue,Gonflement des articulations (Joint Swelling),0.0,0.0
dengue,Éruptions cutanées ou Exanthème (Skin rash or Exanthema),0.0,0.0
dengue,Éruption morbilliforme (Morbilliform rash),0.0,0.0
dengue,Mal de gorge (throat pain),0.0,0.0
dengue,Mictions fréquentes.(Frequent Urination),0.0,0.0
dengue,Constipation,0.0,0.0
dengue,Mictions fréquentes. (Frequent Urination),0.0,0.0
dengue,Ictère (Icterus),0.0,0.0
dengue,Epistaxis ((Bleeding nose),0.0,0.0
dengue,Confusion/ niveau de conscience altéré (impaired level of consciousness),0.0,0.0
dengue,Gonflement du visage (Facial Swelling),0.0,0.0
dengue,Délire /Discours irrationnel (Delirium/ Irrational Talking),0.0,0.0
dengue,Hémoglobinurie (Hemoglobinuria),0.0,0.0
dengue,Goût amer dans la gorge (Bitter taste in your Throat),0.0,0.0
dengue,Choc septique (Shock),0.0,0.0
dengue,Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),0.0,0.0
dengue,Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),0.0,0.0
dengue,Choc septique (Septicemia),0.0,0.0
dengue,Syndrome d'icterus subaigu (Sub-icterus),0.0,0.0
dengue,Lymphadénopathie / Lymphadenopa thy,0.0,0.0
dengue,bp_parse_failed,0.0,0.0
dengue,Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),0.0,0.0
dengue,Hypoglycémie (Hypoglycemia),0.0,0.0
dengue,Asthme (Astma),0.0,0.0
dengue,Dengue dans le menage (Household Dengue),0.0,0.0
dengue,Raideur (Stiffness),-0.00018,6e-05
dengue,Saignement/ Manifestations hémorragiques (Bleeding),-0.00027,0.00082
dengue,Pneumonie (Pneumonia),-0.00036,0.0016
dengue,Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),-0.0004,0.00082
dengue,Délire,-0.0004,0.00119
dengue,Douleur rétro-orbitrale (Retro-orbital pain),-0.00053,0.01463
dengue,Diarrhée  (Diarrhea),-0.00066,0.00348
dengue,Arthrose,-0.00084,0.00151
dengue,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),-0.00089,0.00292
dengue,Circonference du bras (Mua circumference),-0.001,0.00173
dengue,Rhinorrhée (Rhinorrhea),-0.00116,0.00336
dengue,Diabète,-0.00165,0.00121
dengue,Fièvre depuis 48 heures(Fever 48 hrs),-0.00187,0.02554
