label,base_rate,brier,ece,mean_pred,variant
malaria,0.8718,0.114,0.0484,0.8406,uncalibrated
other_diseases,0.3205,0.1485,0.1081,0.3424,uncalibrated
dengue,0.1795,0.1279,0.1004,0.2709,uncalibrated
typhoid,0.0897,0.0935,0.0987,0.1867,uncalibrated
yellow_fever,0.0385,0.0527,0.0694,0.1078,uncalibrated
malaria,0.8718,0.1143,0.0526,0.9244,calibrated_from_training_OOF
other_diseases,0.3205,0.1635,0.1248,0.2772,calibrated_from_training_OOF
dengue,0.1795,0.125,0.05,0.184,calibrated_from_training_OOF
typhoid,0.0897,0.0703,0.0261,0.0906,calibrated_from_training_OOF
yellow_fever,0.0385,0.0367,0.0001,0.0384,calibrated_from_training_OOF
