track,raw_feature,model_feature,stage,decision
PRE_LAB,Centre de santé,Centre de santé,T0_intake,pre_lab
PRE_LAB,Genre (Gender),gender_female,T0_intake,pre_lab
PRE_LAB,Âge (Age),Âge (Age),T0_intake,pre_lab
PRE_LAB,Poids (Weight),Poids (Weight),T0_intake,pre_lab
PRE_LAB,Poids (Weight),Poids (Weight)__missing,T0_intake,pre_lab
PRE_LAB,Circonference du bras (Mua circumference),Circonference du bras (Mua circumference),T0_intake,pre_lab
PRE_LAB,"Haute température.(temperature, Hyperpyrexia)","Haute température.(temperature, Hyperpyrexia)",T0_intake,pre_lab
PRE_LAB,Fièvre depuis 48 heures(Fever 48 hrs),Fièvre depuis 48 heures(Fever 48 hrs),T0_intake,pre_lab
PRE_LAB,Fièvre au cours des 7 derniers jours (Fever in the last 7 days),Fièvre au cours des 7 derniers jours (Fever in the last 7 days),T0_intake,pre_lab
PRE_LAB,Type de fièvre (Type of Fever),Type de fièvre (Type of Fever),T0_intake,pre_lab
PRE_LAB,Perte de poids (Loss of Weight),Perte de poids (Loss of Weight),T0_intake,pre_lab
PRE_LAB,Maux de tête (headache),Maux de tête (headache),T0_intake,pre_lab
PRE_LAB,Nausée (Nausea),Nausée (Nausea),T0_intake,pre_lab
PRE_LAB,Vomissement (Vomiting),Vomissement (Vomiting),T0_intake,pre_lab
PRE_LAB,Douleur articulaire (Joint pain),Douleur articulaire (Joint pain),T0_intake,pre_lab
PRE_LAB,Gonflement des articulations (Joint Swelling),Gonflement des articulations (Joint Swelling),T0_intake,pre_lab
PRE_LAB,Douleur musculaire ( Muscle pain),Douleur musculaire ( Muscle pain),T0_intake,pre_lab
PRE_LAB,Douleur Thoracique (Chaist pain),Douleur Thoracique (Chaist pain),T0_intake,pre_lab
PRE_LAB,Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),T0_intake,pre_lab
PRE_LAB,Troubles de la conscience (Consciousness trouble),Troubles de la conscience (Consciousness trouble),T0_intake,pre_lab
PRE_LAB,Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),T0_intake,pre_lab
PRE_LAB,Éruptions cutanées ou Exanthème (Skin rash or Exanthema),Éruptions cutanées ou Exanthème (Skin rash or Exanthema),T0_intake,pre_lab
PRE_LAB,Éruption morbilliforme (Morbilliform rash),Éruption morbilliforme (Morbilliform rash),T0_intake,pre_lab
PRE_LAB,Saignement/ Manifestations hémorragiques (Bleeding),Saignement/ Manifestations hémorragiques (Bleeding),T0_intake,pre_lab
PRE_LAB,Rhinorrhée (Rhinorrhea),Rhinorrhée (Rhinorrhea),T0_intake,pre_lab
PRE_LAB,Somnolence ou léthargie  (Drowsiness or lethargy),Somnolence ou léthargie  (Drowsiness or lethargy),T0_intake,pre_lab
PRE_LAB,Vertige (Dizzy),Vertige (Dizzy),T0_intake,pre_lab
PRE_LAB,Douleur abdominale (stomac pain),Douleur abdominale (stomac pain),T0_intake,pre_lab
PRE_LAB,Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),T0_intake,pre_lab
PRE_LAB,Mal de gorge (throat pain),Mal de gorge (throat pain),T0_intake,pre_lab
PRE_LAB,Toux (Cough),Toux (Cough),T0_intake,pre_lab
PRE_LAB,Diarrhée  (Diarrhea),Diarrhée  (Diarrhea),T0_intake,pre_lab
PRE_LAB,Douleur rétro-orbitrale (Retro-orbital pain),Douleur rétro-orbitrale (Retro-orbital pain),T0_intake,pre_lab
PRE_LAB,Céphalée (Headache),Céphalée (Headache),T0_intake,pre_lab
PRE_LAB,Sensation de frissons ou de froid (Shiver or cold sensation),Sensation de frissons ou de froid (Shiver or cold sensation),T0_intake,pre_lab
PRE_LAB,Mictions fréquentes.(Frequent Urination),Mictions fréquentes.(Frequent Urination),T0_intake,pre_lab
PRE_LAB,Constipation,Constipation,T0_intake,pre_lab
PRE_LAB,Oligurie (Oliguria),Oligurie (Oliguria),T0_intake,pre_lab
PRE_LAB,Mictions fréquentes. (Frequent Urination),Mictions fréquentes. (Frequent Urination),T0_intake,pre_lab
PRE_LAB,Prostration,Prostration,T0_intake,pre_lab
PRE_LAB,Ictère (Icterus),Ictère (Icterus),T0_intake,pre_lab
PRE_LAB,Epistaxis ((Bleeding nose),Epistaxis ((Bleeding nose),T0_intake,pre_lab
PRE_LAB,Convulsions généralisées ou focales (Generalised or focal convulsion),Convulsions généralisées ou focales (Generalised or focal convulsion),T0_intake,pre_lab
PRE_LAB,Convulsions multiples (Multiple convulsions),Convulsions multiples (Multiple convulsions),T0_intake,pre_lab
PRE_LAB,Délire,Délire,T0_intake,pre_lab
PRE_LAB,Confusion/ niveau de conscience altéré (impaired level of consciousness),Confusion/ niveau de conscience altéré (impaired level of consciousness),T0_intake,pre_lab
PRE_LAB,Gonflement du visage (Facial Swelling),Gonflement du visage (Facial Swelling),T0_intake,pre_lab
PRE_LAB,Délire /Discours irrationnel (Delirium/ Irrational Talking),Délire /Discours irrationnel (Delirium/ Irrational Talking),T0_intake,pre_lab
PRE_LAB,Hémoglobinurie (Hemoglobinuria),Hémoglobinurie (Hemoglobinuria),T0_intake,pre_lab
PRE_LAB,Goût amer dans la gorge (Bitter taste in your Throat),Goût amer dans la gorge (Bitter taste in your Throat),T0_intake,pre_lab
PRE_LAB,Test de garrot positif (Positive tourniquet test),Test de garrot positif (Positive tourniquet test),T0_intake,pre_lab
PRE_LAB,Raideur (Stiffness),Raideur (Stiffness),T0_intake,pre_lab
PRE_LAB,Détresse respiratoire (Respiratory distress),Détresse respiratoire (Respiratory distress),T0_intake,pre_lab
PRE_LAB,Choc septique (Shock),Choc septique (Shock),T0_intake,pre_lab
PRE_LAB,Hépatomégalie (Hepatomegaly),Hépatomégalie (Hepatomegaly),T0_intake,pre_lab
PRE_LAB,Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),T0_intake,pre_lab
PRE_LAB,Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),T0_intake,pre_lab
PRE_LAB,Splénomégalie modérée,Splénomégalie modérée,T0_intake,pre_lab
PRE_LAB,Choc septique (Septicemia),Choc septique (Septicemia),T0_intake,pre_lab
PRE_LAB,Syndrome d'icterus subaigu (Sub-icterus),Syndrome d'icterus subaigu (Sub-icterus),T0_intake,pre_lab
PRE_LAB,Lymphadénopathie / Lymphadenopa thy,Lymphadénopathie / Lymphadenopa thy,T0_intake,pre_lab
PRE_LAB,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),T1_vital,pre_lab
PRE_LAB,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C)__missing,T1_vital,pre_lab
PRE_LAB,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),T1_vital,pre_lab
PRE_LAB,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR)__missing,T1_vital,pre_lab
PRE_LAB,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,T1_vital,pre_lab
PRE_LAB,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis__missing,T1_vital,pre_lab
PRE_LAB,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp_systolic,T1_vital,pre_lab
PRE_LAB,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp_diastolic,T1_vital,pre_lab
