feature,importance_mean
Centre de santé,0.028706
Diabète,0.015724
Douleur abdominale (stomac pain),0.015110000000000002
Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,0.013728
Céphalée (Headache),0.013420000000000001
Type de fièvre (Type of Fever),0.012508
Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),0.010854
Hypertension artérielle,0.009597999999999999
Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR)__missing,0.008354
Poids (Weight)__missing,0.00798
Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),0.007859999999999999
Détresse respiratoire (Respiratory distress),0.007606
Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),0.006004000000000001
Fièvre au cours des 7 derniers jours (Fever in the last 7 days),0.00481
Douleur musculaire ( Muscle pain),0.004328
Sensation de frissons ou de froid (Shiver or cold sensation),0.003957999999999999
Troubles de la conscience (Consciousness trouble),0.003874
gender_female,0.003692
Pneumonie (Pneumonia),0.0035660000000000006
Convulsions généralisées ou focales (Generalised or focal convulsion),0.0029100000000000003
Maux de tête (headache),0.002692
bp__missing,0.002652
Convulsions multiples (Multiple convulsions),0.002554
Poids (Weight),0.0023
Diarrhée  (Diarrhea),0.002224
