track,label,metric,estimate,lower,upper,n,support_pos,valid_draws
PRE_LAB,malaria,f1,0.931507,0.885714,0.966887,78,68,2000
PRE_LAB,malaria,recall,1.0,1.0,1.0,78,68,2000
PRE_LAB,malaria,pr_auc,0.9394,0.887772,0.978715,78,68,2000
PRE_LAB,other_diseases,f1,0.612245,0.432432,0.75,78,25,2000
PRE_LAB,other_diseases,recall,0.6,0.409091,0.785714,78,25,2000
PRE_LAB,other_diseases,pr_auc,0.70955,0.535551,0.864163,78,25,2000
PRE_LAB,dengue,f1,0.482759,0.249811,0.685714,78,14,2000
PRE_LAB,dengue,recall,0.5,0.25,0.769231,78,14,2000
PRE_LAB,dengue,pr_auc,0.546506,0.309243,0.780699,78,14,2000
PRE_LAB,typhoid,f1,0.352941,0.0,0.625,78,7,2000
PRE_LAB,typhoid,recall,0.428571,0.0,0.8,78,7,2000
PRE_LAB,typhoid,pr_auc,0.385678,0.086468,0.737164,78,7,2000
PRE_LAB,yellow_fever,f1,0.0,0.0,0.0,78,3,2000
PRE_LAB,yellow_fever,recall,0.0,0.0,0.0,78,3,2000
PRE_LAB,yellow_fever,pr_auc,0.115741,0.038462,0.329113,78,3,2000
LAB_AWARE,malaria,f1,0.937931,0.893617,0.973333,78,68,2000
LAB_AWARE,malaria,recall,1.0,1.0,1.0,78,68,2000
LAB_AWARE,malaria,pr_auc,0.995744,0.984389,1.0,78,68,2000
LAB_AWARE,other_diseases,f1,0.553846,0.392136,0.684229,78,25,2000
LAB_AWARE,other_diseases,recall,0.72,0.535714,0.884722,78,25,2000
LAB_AWARE,other_diseases,pr_auc,0.700724,0.518835,0.872101,78,25,2000
LAB_AWARE,dengue,f1,0.611111,0.4,0.782651,78,14,2000
LAB_AWARE,dengue,recall,0.785714,0.5,1.0,78,14,2000
LAB_AWARE,dengue,pr_auc,0.574975,0.321859,0.809217,78,14,2000
LAB_AWARE,typhoid,f1,0.285714,0.0,0.536632,78,7,2000
LAB_AWARE,typhoid,recall,0.428571,0.0,0.833333,78,7,2000
LAB_AWARE,typhoid,pr_auc,0.21073,0.074053,0.543492,78,7,2000
LAB_AWARE,yellow_fever,f1,0.0,0.0,0.0,78,3,2000
LAB_AWARE,yellow_fever,recall,0.0,0.0,0.0,78,3,2000
LAB_AWARE,yellow_fever,pr_auc,0.088386,0.029412,0.276603,78,3,2000
