track,model,data_partition,micro_f1,macro_f1,weighted_f1,samples_f1,hamming_loss,subset_accuracy,jaccard_samples,macro_recall,macro_precision,macro_roc_auc,macro_pr_auc
PRE_LAB,logreg_c0.1,training_only,0.6947,0.5143,0.7748,0.7257,0.2362,0.3122,0.6204,0.7184,0.4537,0.689,0.4577
PRE_LAB,logreg,training_only,0.7146,0.5197,0.7795,0.7342,0.2154,0.3348,0.635,0.6961,0.4628,0.6781,0.4459
PRE_LAB,logreg_c2.0,training_only,0.7439,0.5155,0.7771,0.7606,0.1819,0.4072,0.6735,0.6208,0.463,0.6747,0.4382
PRE_LAB,random_forest,training_only,0.7409,0.5259,0.7818,0.7594,0.1873,0.3891,0.6689,0.6558,0.4671,0.7008,0.4771
PRE_LAB,extra_trees,training_only,0.7871,0.5633,0.7976,0.7974,0.1439,0.4932,0.7236,0.6245,0.5278,0.7146,0.5011
PRE_LAB,extra_trees_leaf5,training_only,0.7854,0.5508,0.7926,0.7994,0.1439,0.4932,0.7243,0.5972,0.5159,0.7073,0.4986
PRE_LAB,hist_gb,training_only,0.7381,0.4829,0.7597,0.7528,0.1792,0.4208,0.6694,0.5455,0.4524,0.6911,0.4612
LAB_AWARE,logreg_c0.1,training_only,0.6777,0.5078,0.7726,0.7039,0.2643,0.276,0.5924,0.7618,0.4292,0.7393,0.4699
LAB_AWARE,logreg,training_only,0.6879,0.518,0.785,0.7059,0.248,0.2896,0.5992,0.7444,0.4616,0.7383,0.4635
LAB_AWARE,logreg_c2.0,training_only,0.6921,0.5185,0.7848,0.7077,0.2407,0.2715,0.5977,0.7299,0.4655,0.7286,0.4529
LAB_AWARE,random_forest,training_only,0.7545,0.5278,0.7863,0.7737,0.1738,0.4163,0.6863,0.6199,0.4724,0.7476,0.5233
LAB_AWARE,extra_trees,training_only,0.77,0.5428,0.799,0.7919,0.1584,0.4751,0.715,0.6323,0.5048,0.7604,0.5196
LAB_AWARE,extra_trees_leaf5,training_only,0.7819,0.5362,0.7906,0.8007,0.1439,0.4977,0.7265,0.5682,0.5152,0.7578,0.5164
LAB_AWARE,hist_gb,training_only,0.7481,0.5319,0.776,0.7624,0.1828,0.3891,0.6718,0.6625,0.4584,0.7667,0.526
