label,support_pos,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,false_negative_rate,track
malaria,68,0.8718,1.0,0.9315,0.6456,0.9375,68,10,0,0,0.0,PRE_LAB
other_diseases,25,0.6522,0.6,0.625,0.8657,0.7252,15,8,10,45,0.4,PRE_LAB
dengue,14,0.4667,0.5,0.4828,0.8058,0.5611,7,8,7,56,0.5,PRE_LAB
typhoid,7,0.2,0.4286,0.2727,0.7465,0.3901,3,12,4,59,0.5714,PRE_LAB
yellow_fever,3,0.0,0.0,0.0,0.7467,0.0943,0,2,3,73,1.0,PRE_LAB
malaria,68,0.8831,1.0,0.9379,0.9735,0.9957,68,9,0,1,0.0,LAB_AWARE
other_diseases,25,0.45,0.72,0.5538,0.7668,0.7007,18,22,7,31,0.28,LAB_AWARE
dengue,14,0.5,0.7857,0.6111,0.8036,0.575,11,11,3,53,0.2143,LAB_AWARE
typhoid,7,0.2143,0.4286,0.2857,0.6982,0.2107,3,11,4,60,0.5714,LAB_AWARE
yellow_fever,3,0.0,0.0,0.0,0.7156,0.0884,0,4,3,71,1.0,LAB_AWARE
