weight_scenario,threshold_scenario,capacity,false_negative_cost,projected_patients_prioritised,projected_label_flags_reviewed,projected_unreviewed_flag_cost,interpretation
base,performance,10,1.0,10,23,87.0,scenario projection; not measured clinical impact
base,performance,10,3.0,10,23,261.0,scenario projection; not measured clinical impact
base,performance,10,5.0,10,23,435.0,scenario projection; not measured clinical impact
base,performance,25,1.0,25,51,59.0,scenario projection; not measured clinical impact
base,performance,25,3.0,25,51,177.0,scenario projection; not measured clinical impact
base,performance,25,5.0,25,51,295.0,scenario projection; not measured clinical impact
base,performance,78,1.0,78,110,0.0,scenario projection; not measured clinical impact
base,performance,78,3.0,78,110,0.0,scenario projection; not measured clinical impact
base,performance,78,5.0,78,110,0.0,scenario projection; not measured clinical impact
base,conservative,10,1.0,10,26,98.0,scenario projection; not measured clinical impact
base,conservative,10,3.0,10,26,294.0,scenario projection; not measured clinical impact
base,conservative,10,5.0,10,26,490.0,scenario projection; not measured clinical impact
base,conservative,25,1.0,25,55,69.0,scenario projection; not measured clinical impact
base,conservative,25,3.0,25,55,207.0,scenario projection; not measured clinical impact
base,conservative,25,5.0,25,55,345.0,scenario projection; not measured clinical impact
base,conservative,78,1.0,78,124,0.0,scenario projection; not measured clinical impact
base,conservative,78,3.0,78,124,0.0,scenario projection; not measured clinical impact
base,conservative,78,5.0,78,124,0.0,scenario projection; not measured clinical impact
rare_disease_emphasis,performance,10,1.0,10,23,87.0,scenario projection; not measured clinical impact
rare_disease_emphasis,performance,10,3.0,10,23,261.0,scenario projection; not measured clinical impact
rare_disease_emphasis,performance,10,5.0,10,23,435.0,scenario projection; not measured clinical impact
rare_disease_emphasis,performance,25,1.0,25,50,60.0,scenario projection; not measured clinical impact
rare_disease_emphasis,performance,25,3.0,25,50,180.0,scenario projection; not measured clinical impact
rare_disease_emphasis,performance,25,5.0,25,50,300.0,scenario projection; not measured clinical impact
rare_disease_emphasis,performance,78,1.0,78,110,0.0,scenario projection; not measured clinical impact
rare_disease_emphasis,performance,78,3.0,78,110,0.0,scenario projection; not measured clinical impact
rare_disease_emphasis,performance,78,5.0,78,110,0.0,scenario projection; not measured clinical impact
rare_disease_emphasis,conservative,10,1.0,10,26,98.0,scenario projection; not measured clinical impact
rare_disease_emphasis,conservative,10,3.0,10,26,294.0,scenario projection; not measured clinical impact
rare_disease_emphasis,conservative,10,5.0,10,26,490.0,scenario projection; not measured clinical impact
rare_disease_emphasis,conservative,25,1.0,25,54,70.0,scenario projection; not measured clinical impact
rare_disease_emphasis,conservative,25,3.0,25,54,210.0,scenario projection; not measured clinical impact
rare_disease_emphasis,conservative,25,5.0,25,54,350.0,scenario projection; not measured clinical impact
rare_disease_emphasis,conservative,78,1.0,78,124,0.0,scenario projection; not measured clinical impact
rare_disease_emphasis,conservative,78,3.0,78,124,0.0,scenario projection; not measured clinical impact
rare_disease_emphasis,conservative,78,5.0,78,124,0.0,scenario projection; not measured clinical impact
