feature,name_patterns_matched,is_lab_test,is_vital,contains_disease_token,semantic_target_labels,forced_research_only,derived_representation,best_label,max_single_feature_auc,mutual_info,stage,decision,rationale
Autres maladies présentées par le patient,,False,False,False,other_diseases,True,presence,other_diseases,0.9747,0.562,T3_restate,research_only,Explicitly governed target-restatement / post-diagnosis field
Dengue (Dengua),dengue;dengua,False,False,True,dengue,False,model_encoding,dengue,0.9643,0.4084,T3_restate,research_only,Disease-named feature ~ target (post-diagnosis)
Test TDR,test;tdr,True,False,False,,False,model_encoding,malaria,0.8681,0.1019,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Goutte épaisse,goutte,True,False,False,,False,model_encoding,malaria,0.8163,0.0853,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Neutrophiles / Neutrophils,,True,False,False,,False,model_encoding,typhoid,0.6815,0.0098,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Numération plaquettaire Platelet count,,True,False,False,,False,model_encoding,other_diseases,0.6701,0.0765,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),,True,False,False,,False,model_encoding,typhoid,0.6645,0.0077,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Lymphocytes,,True,False,False,,False,missing_indicator,typhoid,0.6577,0.0071,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Créatinine élevée / Elevated Creatinine,,True,False,False,,False,model_encoding,dengue,0.634,0.02,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Hematocrite (Hematrocrit),,True,False,False,,False,model_encoding,malaria,0.6229,0.0373,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Hémoconcentration,,True,False,False,,False,model_encoding,dengue,0.6227,0.0272,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Thrombocytopénie(Thrombocytopenia),,True,False,False,,False,model_encoding,malaria,0.5716,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,,True,False,False,,False,model_encoding,typhoid,0.5519,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Transaminases (Transaminases),,True,False,False,,False,model_encoding,typhoid,0.5389,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
CRP>50 /CRP 10-50,,True,False,False,,False,missing_indicator,yellow_fever,0.5348,0.0007,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Neutropénie (Neutropenia),,True,False,False,,False,model_encoding,malaria,0.5215,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Lymphocytopénie (Lymphocytopenia),,True,False,False,,False,model_encoding,malaria,0.5204,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Carences en leucocytes (Leucopenia),,True,False,False,,False,missing_indicator,malaria,0.5172,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
