column,n_missing,missing_pct,role
Circonference du bras (Mua circumference),275,91.67,numeric
Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),209,69.67,numeric
Autres maladies présentées par le patient,206,68.67,text_high_cardinality
Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),171,57.0,numeric
Lymphocytes,153,51.0,numeric
Hematocrite (Hematrocrit),105,35.0,numeric
Poids (Weight),104,34.67,numeric
Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),88,29.33,numeric
Créatinine élevée / Elevated Creatinine,82,27.33,numeric
Neutrophiles / Neutrophils,81,27.0,numeric
Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),54,18.0,numeric
Numération plaquettaire Platelet count,50,16.67,numeric
Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),37,12.33,numeric
Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,37,12.33,numeric
Goutte épaisse,30,10.0,binary
Test TDR,29,9.67,binary
CRP>50 /CRP 10-50,21,7.0,binary
ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,18,6.0,binary
Transaminases (Transaminases),13,4.33,binary
Thrombocytopénie(Thrombocytopenia),12,4.0,binary
Hypoglycémie (Hypoglycemia),11,3.67,binary
Neutropénie (Neutropenia),10,3.33,binary
Lymphocytopénie (Lymphocytopenia),8,2.67,binary
Dengue (Dengua),7,2.33,binary
Hémoconcentration,6,2.0,binary
Type de fièvre (Type of Fever),6,2.0,binary
Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),5,1.67,binary
Fièvre au cours des 7 derniers jours (Fever in the last 7 days),4,1.33,binary
Drépanocytose,4,1.33,binary
Délire,4,1.33,binary
Test de garrot positif (Positive tourniquet test),3,1.0,binary
Hypertension artérielle,3,1.0,binary
Confusion/ niveau de conscience altéré (impaired level of consciousness),3,1.0,binary
Maladie auto immune,3,1.0,constant
Arthrose,3,1.0,binary
Maladie rhumatismale,3,1.0,constant
Diabète,3,1.0,binary
Nausée (Nausea),3,1.0,binary
Fièvre depuis 48 heures(Fever 48 hrs),3,1.0,binary
Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),3,1.0,binary
Cancer,3,1.0,constant
Asthme (Astma),3,1.0,binary
Pneumonie (Pneumonia),3,1.0,binary
Allergies,3,1.0,constant
Maux de tête (headache),2,0.67,binary
Perte de poids (Loss of Weight),2,0.67,binary
Genre (Gender),2,0.67,binary
Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),2,0.67,binary
Gonflement des articulations (Joint Swelling),2,0.67,binary
Dengue dans le menage (Household Dengue),2,0.67,binary
Carences en leucocytes (Leucopenia),2,0.67,constant
Hépatomégalie (Hepatomegaly),2,0.67,binary
Gonflement du visage (Facial Swelling),2,0.67,binary
Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),2,0.67,binary
Splénomégalie modérée,2,0.67,binary
Délire /Discours irrationnel (Delirium/ Irrational Talking),2,0.67,binary
Lymphadénopathie / Lymphadenopa thy,2,0.67,binary
Douleur musculaire ( Muscle pain),2,0.67,binary
Mictions fréquentes. (Frequent Urination),2,0.67,binary
Oligurie (Oliguria),2,0.67,binary
Convulsions multiples (Multiple convulsions),2,0.67,binary
Convulsions généralisées ou focales (Generalised or focal convulsion),2,0.67,binary
Diarrhée  (Diarrhea),2,0.67,binary
Prostration,2,0.67,binary
Douleur articulaire (Joint pain),1,0.33,binary
Éruptions cutanées ou Exanthème (Skin rash or Exanthema),1,0.33,binary
Vomissement (Vomiting),1,0.33,binary
Inflammation de conjonctivite,1,0.33,constant
Douleur abdominale (stomac pain),1,0.33,binary
"Haute température.(temperature, Hyperpyrexia)",1,0.33,binary
Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),1,0.33,binary
Troubles de la conscience (Consciousness trouble),1,0.33,binary
Douleur Thoracique (Chaist pain),1,0.33,binary
Somnolence ou léthargie  (Drowsiness or lethargy),1,0.33,binary
Vertige (Dizzy),1,0.33,binary
Mictions fréquentes.(Frequent Urination),1,0.33,binary
Constipation,1,0.33,binary
Maladies diagnostiquées/Dengue,1,0.33,binary
Syndrome d'icterus subaigu (Sub-icterus),1,0.33,binary
Epistaxis ((Bleeding nose),1,0.33,binary
Ictère (Icterus),1,0.33,binary
Céphalée (Headache),1,0.33,binary
Sensation de frissons ou de froid (Shiver or cold sensation),1,0.33,binary
Toux (Cough),1,0.33,binary
Douleur rétro-orbitrale (Retro-orbital pain),1,0.33,binary
Mal de gorge (throat pain),1,0.33,binary
Éruption morbilliforme (Morbilliform rash),1,0.33,binary
Rhinorrhée (Rhinorrhea),1,0.33,binary
Saignement/ Manifestations hémorragiques (Bleeding),1,0.33,binary
Goût amer dans la gorge (Bitter taste in your Throat),1,0.33,binary
Sudation excessive (Profuse sweating),1,0.33,constant
Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),1,0.33,binary
Raideur (Stiffness),1,0.33,binary
Maladies diagnostiquées/Zika,1,0.33,constant
Maladies diagnostiquées/Chikunguya,1,0.33,constant
Rougeur faciale (Facial flushing),1,0.33,constant
Hémoglobinurie (Hemoglobinuria),1,0.33,binary
Choc septique (Shock),1,0.33,binary
Détresse respiratoire (Respiratory distress),1,0.33,binary
Maladies diagnostiquées/Paludisme (Malaria),1,0.33,binary
Maladies diagnostiquées,1,0.33,categorical
Maladies diagnostiquées/Option 8,1,0.33,constant
