track,model,model_track,micro_f1,macro_f1,weighted_f1,samples_f1,hamming_loss,subset_accuracy,jaccard_samples,macro_recall,macro_precision,macro_roc_auc,macro_pr_auc
FULL,classifier_chain,FULL:classifier_chain,0.9283,0.6844,0.9147,0.9218,0.0439,0.8027,0.8939,0.6566,0.7327,0.8897,0.7153
FULL,hist_gb,FULL:hist_gb,0.9267,0.6755,0.9119,0.9203,0.0448,0.7982,0.8916,0.6475,0.7282,0.8864,0.7093
FULL,extra_trees,FULL:extra_trees,0.8784,0.63,0.8794,0.8851,0.0762,0.704,0.8404,0.6195,0.6508,0.8795,0.696
FULL,logreg,FULL:logreg,0.8489,0.656,0.8829,0.8478,0.0987,0.6054,0.7922,0.6986,0.6393,0.8514,0.6491
LAB_AWARE,classifier_chain,LAB_AWARE:classifier_chain,0.8589,0.5309,0.8316,0.8584,0.0843,0.6682,0.8102,0.496,0.5913,0.8329,0.5791
LAB_AWARE,hist_gb,LAB_AWARE:hist_gb,0.8559,0.5128,0.8285,0.8553,0.0861,0.6592,0.8057,0.4825,0.5629,0.8229,0.5748
LAB_AWARE,extra_trees,LAB_AWARE:extra_trees,0.8312,0.5552,0.8381,0.8451,0.1085,0.5964,0.7862,0.574,0.544,0.8311,0.5662
LAB_AWARE,logreg,LAB_AWARE:logreg,0.7772,0.5514,0.8217,0.7837,0.1507,0.4753,0.7088,0.618,0.5189,0.8044,0.5463
PRE_LAB,extra_trees,PRE_LAB:extra_trees,0.8258,0.5604,0.8327,0.8347,0.1139,0.5785,0.7732,0.5954,0.5365,0.7826,0.558
PRE_LAB,classifier_chain,PRE_LAB:classifier_chain,0.8331,0.4934,0.8034,0.8368,0.1013,0.6099,0.7788,0.472,0.5311,0.7474,0.5371
PRE_LAB,hist_gb,PRE_LAB:hist_gb,0.8368,0.4754,0.8001,0.8404,0.0987,0.6009,0.7803,0.4558,0.5235,0.7392,0.5301
PRE_LAB,logreg,PRE_LAB:logreg,0.7313,0.5233,0.7883,0.7425,0.1839,0.4126,0.659,0.5836,0.4971,0.7259,0.5221
