track,label,support_pos,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,false_negative_rate
PRE_LAB,malaria,68,0.8718,1.0,0.9315,0.6779,0.9423,68,10,0,0,0.0
PRE_LAB,other_diseases,25,0.6207,0.72,0.6667,0.8536,0.7047,18,11,7,42,0.28
PRE_LAB,dengue,14,0.4167,0.3571,0.3846,0.798,0.5068,5,7,9,57,0.6429
PRE_LAB,typhoid,7,0.4286,0.4286,0.4286,0.7525,0.3683,3,4,4,67,0.5714
PRE_LAB,yellow_fever,3,0.0,0.0,0.0,0.7511,0.1011,0,2,3,73,1.0
LAB_AWARE,malaria,68,0.8718,1.0,0.9315,0.9706,0.9952,68,10,0,0,0.0
LAB_AWARE,other_diseases,25,0.6538,0.68,0.6667,0.7819,0.7067,17,9,8,44,0.32
LAB_AWARE,dengue,14,0.3438,0.7857,0.4783,0.769,0.5375,11,21,3,43,0.2143
LAB_AWARE,typhoid,7,0.1429,0.1429,0.1429,0.6901,0.1861,1,6,6,65,0.8571
LAB_AWARE,yellow_fever,3,0.0,0.0,0.0,0.7244,0.0867,0,5,3,70,1.0
FULL,malaria,68,0.8718,1.0,0.9315,0.975,0.996,68,10,0,0,0.0
FULL,other_diseases,25,1.0,1.0,1.0,1.0,1.0,25,0,0,53,0.0
FULL,dengue,14,1.0,0.8571,0.9231,0.9989,0.9952,12,0,2,64,0.1429
FULL,typhoid,7,0.5,0.2857,0.3636,0.7606,0.298,2,2,5,69,0.7143
FULL,yellow_fever,3,0.0,0.0,0.0,0.68,0.0749,0,4,3,71,1.0
